"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         183,      -4.476216168,       -2.01989016,      -3.774705323,     -0.2946334143,       -1.95970153,       3.261681481
          0,           0,         184,      -4.478028729,      -2.021325226,      -3.781678151,     -0.2965658102,      -1.957124411,       3.257348405
          0,           0,         185,      -4.479821985,      -2.022737233,      -3.788058412,     -0.2984386395,      -1.954640706,       3.253025884
          0,           0,         186,      -4.481595803,       -2.02412642,      -3.793744764,     -0.3002517053,      -1.952247899,       3.248713473
          0,           0,         187,      -4.483350053,      -2.025493029,      -3.798662951,     -0.3020054246,      -1.949943949,       3.244410356
          0,           0,         188,      -4.485084609,      -2.026837306,      -3.802779261,     -0.3037016186,      -1.947726411,       3.240115934
          0,           0,         189,      -4.486799355,      -2.028159491,      -3.806111264,     -0.3053443734,      -1.945590493,       3.235829751
          0,           0,         190,      -4.488494152,      -2.029459773,      -3.808729983,     -0.3069384551,      -1.943527268,       3.231551197
          0,           0,         191,      -4.490168872,      -2.030738423,      -3.810762273,     -0.3084893245,      -1.941539961,       3.227279739
          0,           0,         192,      -4.491823397,      -2.031995732,      -3.812372418,     -0.3100038217,      -1.939631563,       3.223014888
          0,           0,         193,      -4.493457597,      -2.033232008,      -3.813742418,     -0.3114884885,      -1.937803563,       3.218756821
          0,           0,         194,       -4.49507132,      -2.034447552,       -3.81505259,     -0.3129510292,      -1.936054982,       3.214505668
          0,           0,         195,      -4.496664376,      -2.035642667,      -3.816466779,     -0.3143971959,      -1.934385758,       3.210261472
          0,           0,         196,      -4.498236591,      -2.036817666,      -3.818119199,     -0.3158319946,      -1.932796016,       3.206024011
          0,           0,         197,      -4.499787801,      -2.037972851,      -3.820104764,     -0.3172596391,      -1.931283038,       3.201793169
          0,           0,         198,      -4.501317808,      -2.039108526,      -3.822475635,     -0.3186817528,      -1.929845865,       3.197568575
          0,           0,         199,      -4.502826445,      -2.040224905,      -3.825242876,     -0.3200997882,      -1.928475962,       3.193349603
          0,           0,         200,       -4.50431353,      -2.041322161,      -3.828386284,     -0.3215146788,      -1.927161794,       3.189135258
          0,           0,         201,      -4.505778856,      -2.042400536,      -3.831862306,     -0.3229227136,      -1.925900694,       3.184924439
          0,           0,         202,      -4.507222249,      -2.043460362,      -3.835609077,     -0.3243195352,      -1.924696796,       3.180715976
          0,           0,         203,      -4.508643611,      -2.044501995,      -3.839555424,     -0.3257023342,      -1.923553253,       3.176508673
          0,           0,         204,      -4.510042871,       -2.04552581,      -3.843624692,     -0.3270679779,      -1.922472369,       3.172301615
          0,           0,         205,      -4.511419969,      -2.046532192,      -3.847740386,     -0.3284134876,      -1.921456326,       3.168093914
          0,           0,         206,      -4.512774865,      -2.047521448,      -3.851826525,      -0.329736092,      -1.920501481,       3.163885459
          0,           0,         207,      -4.514107466,      -2.048493888,      -3.855814953,     -0.3310337288,      -1.919606893,        3.15967575
          0,           0,         208,      -4.515417728,      -2.049449841,      -3.859654568,     -0.3323046141,      -1.918772007,       3.155464224
          0,           0,         209,      -4.516705612,       -2.05038964,      -3.863296857,     -0.3335474355,      -1.917995203,       3.151251067
